kid.score,mom.hs,mom.iq,mom.work,mom.age
65,1,121.1175286,4,27
98,1,89.36188171,4,25
85,1,115.4431649,4,27
83,1,99.44963944,3,25
115,1,92.74571,4,27
98,0,107.9018378,1,18
69,1,138.8931061,4,20
106,1,125.1451195,3,23
102,1,81.61952618,1,24
95,1,95.07306862,1,19
91,1,88.57699772,1,23
58,1,94.85970819,4,24
84,1,88.96280085,4,27
78,1,114.114297,4,26
102,0,100.5340719,2,24
110,1,120.4191456,1,26
102,1,114.4268769,3,23
99,1,111.5923576,3,26
105,1,133.8492272,4,20
101,0,97.26480106,3,17
102,1,110.0968061,4,21
115,1,126.7239942,2,26
100,1,97.91159031,2,20
87,1,99.92572516,4,23
99,0,97.59500805,4,19
96,1,121.7480135,4,27
72,1,98.7480787,3,21
78,1,97.91525433,4,22
77,1,80.35855646,2,24
98,1,114.3078606,2,22
69,1,109.1383163,1,27
130,1,101.8171797,2,23
109,1,117.9651043,3,27
106,0,108.6334969,2,22
92,1,96.52861915,3,27
100,1,92.87137547,4,22
107,1,95.89813429,4,27
86,1,107.0154577,4,25
90,1,87.19701175,1,22
110,1,89.36188171,4,25
107,1,102.5309878,2,21
113,1,130.1668602,3,24
65,1,83.4141026,3,22
102,1,125.7534662,1,24
103,0,85.81037656,4,27
111,1,126.5200726,4,28
42,1,79.2030481,4,21
100,1,113.1659072,1,23
67,1,110.3313879,1,26
92,1,99.40922374,4,28
100,1,102.4255265,2,24
110,1,124.9004377,3,27
56,1,94.85970819,4,24
107,1,92.36856455,3,29
97,1,101.8171797,1,23
56,0,79.83353296,1,21
95,1,96.22613927,2,21
78,0,82.35547239,4,21
76,0,76.57564732,1,24
86,1,110.0134829,1,23
79,1,111.5923576,4,26
81,1,113.6574074,4,17
79,0,101.1645568,4,24
79,1,101.341094,4,25
56,1,101.6981635,2,22
52,1,98.81915458,2,25
63,1,93.4981963,2,20
80,1,87.2938899,4,24
87,1,87.316028,4,23
88,1,86.20945742,2,25
92,1,89.83796743,4,23
100,0,121.8700149,1,20
94,0,127.5443786,4,20
117,1,109.9913448,4,24
102,1,90.44631419,4,24
107,1,88.8949027,4,26
99,1,113.0468909,4,22
73,0,78.01315427,4,25
56,1,95.38965088,1,20
78,0,83.61644211,2,21
94,0,86.24628061,2,19
110,1,95.38965088,4,20
109,1,111.2523145,4,24
86,1,127.0144359,1,24
92,1,89.95195087,2,28
91,1,99.2731022,2,24
123,1,81.16557856,1,25
102,1,110.5212875,3,20
105,1,136.4938469,4,23
114,1,123.8620117,1,24
96,1,134.6023923,1,23
66,1,91.09893715,3,23
104,1,103.2693718,2,19
108,1,126.2870729,3,22
84,1,127.5443786,4,20
83,0,92.4738903,4,28
83,1,84.79408857,4,23
92,0,100.5340719,2,24
109,0,108.0030121,4,22
95,0,78.80714497,1,26
93,1,121.1175286,4,27
114,1,103.0560113,2,24
106,1,100.4371938,2,22
87,1,88.55485962,2,24
65,1,85.30555717,4,22
95,1,119.4486177,3,24
61,1,90.55177555,2,21
73,1,96.33403834,4,19
112,1,127.6449208,4,24
113,1,119.8565589,4,27
49,0,112.0189209,1,28
105,1,92.514306,4,25
122,1,96.02379976,4,22
96,1,91.41684213,4,26
97,1,103.0781494,2,23
94,1,100.2436301,3,26
117,1,89.81582933,4,24
136,1,115.0573617,4,23
85,0,96.65062059,4,20
116,1,105.5779508,4,24
106,1,97.72169071,4,26
